"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","569.67","563.68","572.84","539.44","572.12M","1.06%"
"08/01/2024","563.68","552.57","564.20","510.27","62.70M","2.34%"
"07/01/2024","550.81","545.63","565.16","537.45","1.04B","1.21%"
"06/01/2024","544.22","529.02","550.28","522.60","888.92M","3.20%"
"05/01/2024","527.37","501.38","533.07","499.55","1.15B","5.06%"
"04/01/2024","501.98","523.83","524.38","493.86","1.59B","-4.03%"
"03/01/2024","523.07","508.98","524.61","504.91","1.47B","2.95%"
"02/01/2024","508.08","484.63","510.13","483.80","1.39B","5.22%"
"01/01/2024","482.88","472.16","491.62","466.43","1.70B","1.59%"
"12/01/2023","475.31","455.77","477.55","454.31","1.64B","4.14%"
"11/01/2023","456.40","419.20","458.32","418.65","1.50B","9.13%"
"10/01/2023","418.20","426.62","438.14","409.21","2.00B","-2.17%"
"09/01/2023","427.48","453.17","453.67","422.29","1.59B","-5.08%"
"08/01/2023","450.35","456.27","457.25","433.01","1.76B","-1.63%"
"07/01/2023","457.79","442.92","459.44","437.06","1.37B","3.27%"
"06/01/2023","443.28","418.09","444.30","416.79","1.75B","6.09%"
"05/01/2023","417.85","415.47","422.58","403.74","1.78B","0.46%"
"04/01/2023","415.93","408.85","415.94","403.78","1.40B","1.60%"
"03/01/2023","409.39","395.41","409.70","380.65","2.52B","3.31%"
"02/01/2023","396.26","405.21","418.31","393.64","1.60B","-2.51%"
"01/01/2023","406.48","384.37","408.16","377.83","1.58B","6.29%"
"12/01/2022","382.43","408.77","410.49","374.77","1.74B","-6.19%"
"11/01/2022","407.68","390.14","407.68","368.79","1.75B","5.56%"
"10/01/2022","386.21","361.08","389.52","348.11","2.02B","8.13%"
"09/01/2022","357.18","392.89","411.73","357.04","2.00B","-9.62%"
"08/01/2022","395.18","409.15","431.73","395.04","1.44B","-4.08%"
"07/01/2022","411.99","376.56","413.03","371.04","1.44B","9.21%"
"06/01/2022","377.25","415.17","417.44","362.17","1.96B","-8.64%"
"05/01/2022","412.93","412.07","429.66","380.54","2.42B","0.23%"
"04/01/2022","412.00","453.31","457.83","411.21","1.86B","-8.78%"
"03/01/2022","451.64","435.04","462.07","415.12","2.38B","3.44%"
"02/01/2022","436.63","450.68","458.12","410.64","2.30B","-2.95%"
"01/01/2022","449.91","476.30","479.98","420.76","2.49B","-5.27%"
"12/01/2021","474.96","461.64","479.00","448.92","1.93B","4.26%"
"11/01/2021","455.56","460.30","473.54","455.30","1.34B","-0.80%"
"10/01/2021","459.25","430.98","459.56","426.36","1.51B","7.02%"
"09/01/2021","429.14","452.56","454.05","428.78","1.75B","-4.97%"
"08/01/2021","451.56","440.34","453.07","436.10","1.25B","2.98%"
"07/01/2021","438.51","428.87","441.80","421.97","1.42B","2.44%"
"06/01/2021","428.06","422.57","428.78","414.70","1.28B","1.91%"
"05/01/2021","420.04","419.43","422.81","404.00","1.55B","0.66%"
"04/01/2021","417.30","398.40","420.72","398.18","1.46B","5.29%"
"03/01/2021","396.33","385.59","398.12","371.88","2.40B","4.20%"
"02/01/2021","380.36","373.72","394.17","370.38","1.31B","2.78%"
"01/01/2021","370.07","375.31","385.85","364.82","1.40B","-1.02%"
"12/01/2020","373.88","365.57","378.46","362.03","1.35B","3.26%"
"11/01/2020","362.06","330.20","364.38","327.24","1.54B","10.88%"
"10/01/2020","326.54","337.69","354.02","322.60","1.63B","-2.49%"
"09/01/2020","334.89","350.21","358.75","319.80","1.82B","-4.13%"
"08/01/2020","349.31","328.32","351.30","327.73","1.05B","6.98%"
"07/01/2020","326.52","309.57","327.23","309.07","1.51B","5.89%"
"06/01/2020","308.36","303.62","323.41","296.74","2.36B","1.33%"
"05/01/2020","304.32","285.31","306.84","272.99","1.91B","4.76%"
"04/01/2020","290.48","247.98","294.88","243.90","2.82B","12.70%"
"03/01/2020","257.75","298.21","313.84","218.26","5.93B","-13.00%"
"02/01/2020","296.26","323.35","339.08","285.54","2.11B","-7.92%"
"01/01/2020","321.73","323.54","332.95","320.36","1.40B","-0.04%"
"12/01/2019","321.86","314.59","323.80","307.13","1.29B","2.40%"
"11/01/2019","314.31","304.92","315.48","304.74","1.04B","3.62%"
"10/01/2019","303.33","297.74","304.55","284.82","1.41B","2.21%"
"09/01/2019","296.77","290.57","302.63","289.27","1.33B","1.48%"
"08/01/2019","292.45","297.60","300.87","281.72","2.04B","-1.67%"
"07/01/2019","297.43","296.68","302.23","294.33","1.14B","1.51%"
"06/01/2019","293.00","275.31","296.31","273.09","1.34B","6.44%"
"05/01/2019","275.27","294.72","294.95","275.24","1.85B","-6.38%"
"04/01/2019","294.02","284.70","294.45","284.40","1.21B","4.09%"
"03/01/2019","282.48","280.44","285.18","272.42","1.68B","1.36%"
"02/01/2019","278.68","270.15","281.31","267.83","1.37B","3.24%"
"01/01/2019","269.93","245.98","270.47","243.67","2.05B","8.01%"
"12/01/2018","249.92","280.28","280.40","233.76","3.10B","-9.33%"
"11/01/2018","275.65","271.60","281.22","263.07","2.02B","1.85%"
"10/01/2018","270.63","292.11","293.21","259.85","3.02B","-6.91%"
"09/01/2018","290.72","289.84","293.94","286.71","1.23B","0.14%"
